ลำดับ|ประเภท|กลุ่มอาชีพ|รหัส|ชื่อสายงาน|ชื่อตำแหน่งในสายงาน|ระดับ
151|วิชาการ|8|38022|วิชาการศึกษาพิเศษ|นักวิชาการศึกษาพิเศษ|ปฏิบัติการ-เชี่ยวชาญ
152|วิชาการ|8|38023|วิชาการสิ่งแวดล้อม|นักวิชาการสิ่งแวดล้อม|ปฏิบัติการ-เชี่ยวชาญ
153|วิชาการ|8|38024|วิชาการอบรมและฝึกวิชาชีพ|นักวิชาการอบรมและฝึกวิชาชีพ|ปฏิบัติการ-ชำนาญการพิเศษ
154|วิชาการ|8|38025|วิทยาจารย์|วิทยาจารย์|ปฏิบัติการ-ชำนาญการพิเศษ
155|วิชาการ|8|38026|สังคมสงเคราะห์|นักสังคมสงเคราะห์|ปฏิบัติการ-เชี่ยวชาญ
156|วิชาการ|8|38027|อักษรศาสตร์|นักอักษรศาสตร์|ปฏิบัติการ-ทรงคุณวุฒิ
157|ทั่วไป|1|41001|ปฏิบัติงานธุรการ|เจ้าพนักงานธุรการ|ปฏิบัติงาน-อาวุโส
158|ทั่วไป|1|41002|ปฏิบัติงานพัสดุ|เจ้าพนักงานพัสดุ|ปฏิบัติงาน-อาวุโส
159|ทั่วไป|1|41003|ปฏิบัติงานราชทัณฑ์|เจ้าพนักงานราชทัณฑ์|ปฏิบัติงาน-อาวุโส
160|ทั่วไป|1|41004|ปฏิบัติงานเวชสถิติ|เจ้าพนักงานเวชสถิติ|ปฏิบัติงาน-อาวุโส
161|ทั่วไป|1|41005|ปฏิบัติงานสถิติ|เจ้าพนักงานสถิติ|ปฏิบัติงาน-อาวุโส
162|ทั่วไป|1|41006|ปฏิบัติงานอาลักษณ์|เจ้าพนักงานอาลักษณ์|ปฏิบัติงาน-ชำนาญงาน
163|ทั่วไป|1|41007|ประสานงานปกครอง|เจ้าหน้าที่ปกครอง|ปฏิบัติงาน-ชำนาญงาน
164|ทั่วไป|1|41008|ปฏิบัติงานส่งเสริมการปกครอง|เจ้าพนักงานส่งเสริมการปกครอง|ปฏิบัติงาน-ชำนาญงาน
165|ทั่วไป|2|42001|ปฎิบัติงานการพาณิชย์|เจ้าพนักงานการพาณิชย์|ปฏิบัติงาน-อาวุโส
166|ทั่วไป|2|42002|ปฏิบัติงานการเงินและบัญชี|เจ้าพนักงานการเงินและบัญชี|ปฏิบัติงาน-อาวุโส
167|ทั่วไป|2|42003|ปฏิบัติงานคลัง|เจ้าพนักงานการคลัง|ปฏิบัติงาน-อาวุโส
168|ทั่วไป|2|42004|ปฏิบัติงานชั่งตวงวัด|เจ้าพนักงานชั่งตวงวัด|ปฏิบัติงาน-อาวุโส
169|ทั่วไป|2|42005|ปฏิบัติงานดูเงิน|เจ้าพนักงานดูเงิน|ปฏิบัติงาน-อาวุโส
